from_stop_id,to_stop_id,transfer_type,min_transfer_time
6455,5230,0,
6455,6455,2,120
6455,6080,0,
12227,8685,0,
12227,8690,0,
12227,8688,0,
12227,8687,0,
12227,8672,0,
12227,8656,0,
12227,8657,0,
12227,8676,0,
12227,8691,0,
12227,8689,0,
12229,3092,2,480
12229,11786,2,480
12231,11941,0,
12231,8020,0,
12231,8033,0,
12231,10860,0,
12231,12022,0,
12231,12020,0,
12231,11942,0,
12231,3217,2,480
12231,3181,2,480
12231,11940,0,
12233,3186,2,480
12235,3906,0,
12235,3334,2,300
12235,7643,0,
12235,8021,0,
12235,8998,0,
12235,3927,2,300
12235,3904,0,
12235,3769,2,300
12235,3533,0,
12235,3204,0,
12235,3067,0,
12235,3195,0,
12235,3053,0,
12235,3394,0,
8763,11588,2,360
8763,8913,2,360
8763,1230,2,420
8763,8073,0,
8763,8044,2,360
8762,1091,2,360
8762,8907,0,
8761,11095,0,
8761,8860,0,
8760,9505,0,
8760,8673,0,
8760,8674,0,
8759,11875,2,360
8759,11879,2,360
8759,11874,0,
8759,11878,2,420
8759,11873,2,360
8759,11876,0,
8759,11877,0,
8758,8697,0,
8758,8683,0,
8757,8680,0,
8757,8659,0,
8757,8679,0,
9511,8703,0,
8756,9952,0,
8756,10972,0,
8756,10971,0,
8756,8756,2,60
9608,9608,0,
8094,9621,0,
10328,4756,0,
4608,4608,0,
10873,451,2,120
10873,452,2,120
10873,1775,2,120
10873,4143,2,120
10873,4381,2,120
10873,4119,2,120
10873,4067,2,120
10873,4163,2,120
10873,1761,2,120
10873,4474,2,120
11948,11948,0,
12178,9910,2,300
12178,12175,2,300
12178,12056,2,300
12178,9909,2,300
12178,9913,2,300
12178,12290,2,360
12178,10432,2,300
12178,11794,2,600
12178,11793,2,600
12178,11792,2,600
12178,12289,2,360
12178,9911,2,300
12178,9912,2,300
11760,1896,2,480
11760,11759,0,
10755,1493,2,360
1614,12178,2,300
10235,2708,0,
10235,10233,0,
2012,2021,0,
10203,2016,2,360
10203,2671,2,360
10203,1173,2,360
10203,2523,2,360
10203,2761,2,360
10203,2833,2,360
10203,8068,0,
10203,10203,0,
10203,8049,0,
10203,2717,2,360
10203,2414,2,120
2222,2166,0,
2222,2165,2,360
2222,2222,0,
2728,2728,0,
2221,2167,0,
2221,2221,0,
1391,2769,0,
1391,1391,0,
1391,1479,0,
1393,1393,0,
8638,4611,0,
3784,3975,0,
3784,3784,0,
3784,10132,2,300
3954,3314,0,
3954,3333,2,300
11114,7645,2,540
11405,11408,2,480
11405,11579,2,360
3694,3732,0,
9397,3695,2,300
9397,3731,2,300
9397,9397,0,
9209,9209,0,
3058,3062,0,
3058,3058,0,
3059,3479,2,300
11949,11957,0,
11949,11949,0,
9365,3842,0,
9365,9365,0,
3890,3843,0,
3890,3890,0,
9376,9367,0,
9376,11964,2,360
9376,9376,0,
3898,3856,2,360
3898,3878,2,360
9174,3900,0,
